행정동명,교통혼잡도,인구수,건물수,공시지가,주차구획수,불법주정차
금암1동,0.5788856834726015,129.90952380952382,24.3,999831.602904762,303.0,5552.0
노송동,0.777385111629375,64.46938775510205,16.520408163265305,745126.4819387755,315.0,481.0
덕진동,0.669369420476079,172.58333333333334,8.777777777777779,1065961.0555555555,0.0,0.0
동서학동,0.7358844544913219,11.2,7.114285714285714,494896.2328571428,0.0,0.0
삼천1동,0.725586934146077,286.225,21.75,835596.4657500001,0.0,468.0
삼천2동,0.6865452022538683,301.69354838709677,21.04032258064516,832073.640967742,194.0,0.0
삼천3동,0.7941354004983896,246.9,11.8,905747.4890000001,0.0,0.0
서서학동,0.7607133195288217,38.6,27.6,1375271.224,0.0,0.0
서신동,0.6793265831374837,279.95372750642673,13.455012853470437,1109423.4812339332,188.0,6548.0
완산동,0.9175815091933875,58.214285714285715,22.5,818142.4664285714,0.0,0.0
우아2동,0.7461831595786841,261.0181818181818,11.8,525441.8896363636,88.0,1474.0
인후1동,0.7484717607092091,182.04761904761904,28.761904761904763,636859.3604761905,0.0,0.0
인후3동,0.7484717607092091,303.70754716981133,19.382075471698112,748648.505235849,62.0,2268.0
중앙동,0.9751342387079541,94.01913875598086,28.229665071770334,1220214.914354067,265.0,10170.0
중화산1동,0.8165223754208645,204.7826086956522,11.782608695652174,1184442.0082608697,0.0,0.0
중화산2동,0.8263524389350413,212.0040322580645,16.080645161290324,937184.9232258064,169.0,1945.0
풍남동,0.7358844544913219,29.517094017094017,17.82905982905983,1215382.9909401708,70.0,3770.0
효자1동,0.769829573728525,174.0,15.4,1369258.7859999998,0.0,0.0
효자2동,0.7739844159114079,190.85470085470087,21.358974358974358,932932.7435897436,0.0,443.0
효자3동,0.7941354004983896,385.37168141592923,6.619469026548672,1078880.0374336285,0.0,561.0
