단속장소명,위도,경도
서노송동 노송광장로,35.8266871,127.1442865
송천동2가 세병로,35.8748639,127.1276191
서신동 온고을로 부근,35.8360463,127.1108096
송천동2가 세병2길,35.8728404,127.1261584
효자동2가 홍산남로,35.8160331,127.1070101
효자동3가 마전들로,35.8210526,127.1043172
효자동2가 홍산1길,35.8146257,127.1076545
금암동 권삼득로,35.8369013,127.1351021
서신동 새터로 부근,35.8356369,127.1142103
만성동 만성중앙로,35.8432236,127.0760102
송천동2가 세병1길,35.8729707,127.1260089
태평동 태평3길 부근,35.8245507,127.1412711
덕진동2가 가련산로,35.843551,127.1133567
평화동1가 평화14길,35.8175761,127.1340734
경원동3가 현무1길,35.8197968,127.1478818
효자동2가 홍산북로,35.8146257,127.1074431
중화산동2가 한두평3길,35.81474070000001,127.124424
서신동 서신로 부근,35.8311224,127.116161
경원동3가 현무2길,35.8213223,127.1495766
덕진동1가 덕진광장로,35.8443295,127.1248575
금암동 가리내로,35.8342609,127.1336394
송천동1가 오송1길,35.8634558,127.1299148
효자동3가 홍산3길,35.8183195,127.1076871
우아한시티103동부근,35.850793,127.1543918
고사동 전주객사4길 부근,35.8202515,127.1433422
평화동2가 소대배기로,35.7871649,127.1323489
효자동1가 효자천변2길,35.8044073,127.1142443
송천동1가 솔내로,35.8656486,127.127185
효자동3가 홍산남로,35.8160331,127.1070101
평화동1가 평화18길,35.7947669,127.1346007
금암동 기린대로,35.8362428,127.1328727
효자동2가 바우배기2길,35.8170529,127.1038847
서신동 당산로 부근,35.8320911,127.114985
효자동2가 바우배기1길,35.8150125,127.1040587
태평동 태진로 부근,35.8236084,127.1374467
금암동 백제대로,35.8388052,127.1319438
